outcome,lag,rr,rrlow,rrhigh
Respiratory diseases,0,1.00123741933552,0.996997756885651,1.00549511065011
Respiratory diseases,0.1,1.00128529445973,0.997083995115189,1.00550429634114
Respiratory diseases,0.2,1.00133317600969,0.997169185657322,1.00551455440002
Respiratory diseases,0.3,1.00138106812285,0.997253298288733,1.0055259233693
Respiratory diseases,0.4,1.00142897493745,0.99733630380654,1.00553844076131
Respiratory diseases,0.5,1.00147690059254,0.997418174163352,1.00555214292313
Respiratory diseases,0.6,1.00152484922794,0.997498882606334,1.00556706489756
Respiratory diseases,0.7,1.00157282498427,0.997578403819344,1.00558324028097
Respiratory diseases,0.8,1.00162083200296,0.997656714067065,1.00560070107929
Respiratory diseases,0.9,1.00166887442622,0.997733791339934,1.00561947756306
Respiratory diseases,1,1.00171695639705,0.99780961549855,1.00563959812314
Respiratory diseases,1.1,1.00176508205928,0.997884168416101,1.0056610891283
Respiratory diseases,1.2,1.0018132555575,0.997957434117316,1.00568397478638
Respiratory diseases,1.3,1.00186148103714,0.998029398912319,1.00570827701051
Respiratory diseases,1.4,1.00190976264442,0.998100051523775,1.00573401529203
Respiratory diseases,1.5,1.00195810452635,0.998169383205661,1.0057612065819
Respiratory diseases,1.6,1.00200651083077,0.998237387852059,1.0057898651819
Respiratory diseases,1.7,1.00205498570633,0.998304062094389,1.00582000264763
Respiratory diseases,1.8,1.00210353330249,0.998369405385623,1.00585162770433
Respiratory diseases,1.9,1.00215215776952,0.998433420070141,1.00588474617722
Respiratory diseases,2,1.00220086325853,0.998496111438047,1.0059193609373
Respiratory diseases,2.1,1.00224965392143,0.998557487762975,1.0059554718637
Respiratory diseases,2.2,1.00229853391098,0.998617560322624,1.00599307582329
Respiratory diseases,2.3,1.00234750738076,0.99867634340153,1.0060321666681
Respiratory diseases,2.4,1.00239657848517,0.998733854275814,1.00607273525073
Respiratory diseases,2.5,1.00244575137948,0.998790113179947,1.0061147694578
Respiratory diseases,2.6,1.00249503021978,0.998845143255819,1.006158254261
Respiratory diseases,2.7,1.00254441916301,0.998898970484694,1.00620317178543
Respiratory diseases,2.8,1.00259392236697,0.998951623602856,1.00624950139409
Respiratory diseases,2.9,1.00264354399031,0.999003134002002,1.00629721978774
Respiratory diseases,3,1.00269328819254,0.999053535615643,1.00634630111871
Respiratory diseases,3.1,1.00274315913404,0.999102864792939,1.00639671711731
Respiratory diseases,3.2,1.00279316097606,0.999151160161538,1.00644843722923
Respiratory diseases,3.3,1.00284329788072,0.999198462481096,1.00650142876225
Respiratory diseases,3.4,1.00289357401103,0.999244814489218,1.0065556570406
Respiratory diseases,3.5,1.00294399353088,0.999290260741558,1.00661108556507
Respiratory diseases,3.6,1.00299456060506,0.999334847447866,1.0066676761773
Respiratory diseases,3.7,1.00304527939927,0.999378622305649,1.00672538922636
Respiratory diseases,3.8,1.00309615408009,0.999421634333104,1.00678418373611
Respiratory diseases,3.9,1.00314718881503,0.999463933702838,1.00684401757181
Respiratory diseases,4,1.00319838777251,0.999505571577788,1.00690484760448
Respiratory diseases,4.1,1.00324975512188,0.999546599950611,1.00696662987183
Respiratory diseases,4.2,1.00330129503343,0.999587071487657,1.00702931973464
Respiratory diseases,4.3,1.00335301167837,0.999627039378495,1.00709287202753
Respiratory diseases,4.4,1.00340490922888,0.999666557191796,1.00715724120342
Respiratory diseases,4.5,1.00345699185807,0.999705678738207,1.00722238147106
Respiratory diseases,4.6,1.00350926374002,0.999744457940728,1.00728824692495
Respiratory diseases,4.7,1.0035617290498,0.999782948712925,1.0073547916675
Respiratory diseases,4.8,1.00361439196342,0.999821204845201,1.00742196992317
Respiratory diseases,4.9,1.00366725665791,0.999859279899207,1.00748973614443
Respiratory diseases,5,1.00372032731126,0.999897227110384,1.00755804510959
Respiratory diseases,5.1,1.0037736081025,0.999935099298498,1.00762685201266
Respiratory diseases,5.2,1.00382710321164,0.999972948785982,1.00769611254548
