outcome,modifier,strata,estimate,rr,low,high,p_diff,p_diff_sign
Respiratory diseases,Sex,male,"1.007 (1.004, 1.011)",1.00733028573043,1.00415720538742,1.01051339282901,,
Respiratory diseases,Sex,female,"1.009 (1.005, 1.012)",1.00860765741852,1.00547382263352,1.01175125965867,0.576,
Acute upper RI,Sex,male,"1.015 (1.007, 1.022)",1.01488829141957,1.0074904514993,1.02234045248542,,
Acute upper RI,Sex,female,"1.019 (1.011, 1.026)",1.01864353039984,1.01103335909985,1.02631098438659,0.49,
Pneumonia,Sex,male,"1.008 (1.004, 1.012)",1.00838773550289,1.00435956664959,1.01243206006859,,
Pneumonia,Sex,female,"1.009 (1.005, 1.013)",1.00909060398714,1.00516576035426,1.01303077285109,0.807,
Acute lower RI,Sex,male,"1.006 (1.002, 1.010)",1.00622010754196,1.00232696069144,1.01012837579796,,
Acute lower RI,Sex,female,"1.007 (1.004, 1.011)",1.00747174431524,1.00368620717608,1.01127155911541,0.652,
COPD,Sex,male,"1.013 (1.009, 1.018)",1.01337639694774,1.00866886095864,1.01810590337328,,
COPD,Sex,female,"1.013 (1.009, 1.018)",1.01345312199708,1.00875339788124,1.01817474185751,0.982,
Asthma,Sex,male,"1.014 (1.008, 1.021)",1.01434858657531,1.00807310698405,1.0206631324246,,
Asthma,Sex,female,"1.016 (1.010, 1.022)",1.0159768099372,1.00988708202253,1.02210325956734,0.716,
Respiratory diseases,Age,Mid,"1.007 (1.004, 1.010)",1.00726320765247,1.00428598703503,1.01024925428434,,
Respiratory diseases,Age,Low,"1.004 (1.001, 1.008)",1.00443921076058,1.00099623126479,1.00789403256649,0.226,
Respiratory diseases,Age,High,"1.008 (1.006, 1.011)",1.0081739842127,1.00575724293873,1.01059653269156,0.643,
Acute upper RI,Age,Mid,"1.030 (1.020, 1.039)",1.02964444497024,1.02023701912812,1.03913861502897,,
Acute upper RI,Age,Low,"1.015 (1.008, 1.021)*",1.01468071291407,1.00796341377187,1.02144277767688,0.011,*
Acute upper RI,Age,High,"1.061 (1.047, 1.076)*",1.06095360955944,1.04653686362149,1.07556895582449,0,*
Pneumonia,Age,Mid,"1.009 (1.005, 1.013)",1.00872722907598,1.00481961587187,1.0126500384812,,
Pneumonia,Age,Low,"1.002 (0.998, 1.007)*",1.00237328860438,0.997797814770324,1.00696974360366,0.039,*
