outcome,strata,Excess hospitalization rate,Lower 95% CI,Upper 95% CI,Estimate
Respiratory diseases,Australia,48.9308341075156,30.6666042196081,66.9980461160337,"48.9 (30.7, 67.0)"
Respiratory diseases,Brazil,23.9328802373791,11.8395331838176,35.8879595778218,"23.9 (11.8, 35.9)"
Respiratory diseases,Canada,18.6040583544919,6.97871778177822,29.4014720103271,"18.6 (7.0, 29.4)"
Respiratory diseases,Chile,-58.0719273862208,-117.094209200227,-3.55386133059782,"-58.1 (-117.1, -3.6)"
Respiratory diseases,New Zealand,26.073442386033,-10.4230270737403,60.5922656379053,"26.1 (-10.4, 60.6)"
Respiratory diseases,Thailand,-203.881477521832,-322.477399532034,-90.8273298299307,"-203.9 (-322.5, -90.8)"
Acute upper RI,Australia,-4.17389652765279,-9.37302362845917,0.77981295228876,"-4.2 (-9.4, 0.8)"
Acute upper RI,Brazil,1.66078869303997,0.855581563890991,2.43116324807443,"1.7 (0.9, 2.4)"
Acute upper RI,Canada,2.66510569944363,1.72159781936317,3.5274952927682,"2.7 (1.7, 3.5)"
Acute upper RI,Chile,0.812611377733882,-2.80545191215685,4.04770822251315,"0.8 (-2.8, 4.0)"
Acute upper RI,New Zealand,17.1112974318319,9.1369402090295,25.0057591930531,"17.1 (9.1, 25.0)"
Acute upper RI,Thailand,-50.0635320683601,-71.9152183228038,-29.8423493038822,"-50.1 (-71.9, -29.8)"
Pneumonia,Australia,6.81132634687323,-0.952961837928906,14.3018636901076,"6.8 (-1.0, 14.3)"
Pneumonia,Brazil,10.9255174629894,3.54718006668085,18.1567955251989,"10.9 (3.5, 18.2)"
Pneumonia,Canada,7.27243416296144,4.52184661843476,9.890656862026,"7.3 (4.5, 9.9)"
Pneumonia,Chile,-31.9515673954284,-57.4279625423591,-7.7300146339247,"-32.0 (-57.4, -7.7)"
Pneumonia,New Zealand,5.65304525111718,-6.31394092519015,17.2699995964676,"5.7 (-6.3, 17.3)"
Pneumonia,Thailand,-56.1085764339504,-98.8081742005017,-16.2565253147592,"-56.1 (-98.8, -16.3)"
Acute lower RI,Australia,49.8635167053975,39.1235136583493,60.4147492205957,"49.9 (39.1, 60.4)"
Acute lower RI,Brazil,9.42069954263553,1.23900806095207,17.4137588139038,"9.4 (1.2, 17.4)"
Acute lower RI,Canada,3.28833473695484,0.134438948263285,6.18940519652405,"3.3 (0.1, 6.2)"
Acute lower RI,Chile,-34.2326150129521,-66.3798243291972,-3.0218702089987,"-34.2 (-66.4, -3.0)"
Acute lower RI,New Zealand,2.96451973162283,-11.2132034192462,16.4040764575547,"3.0 (-11.2, 16.4)"
Acute lower RI,Thailand,-129.69006927574,-196.115386646424,-67.1622911677679,"-129.7 (-196.1, -67.2)"
COPD,Australia,9.65001626556487,2.77662204690206,16.3003290155778,"9.7 (2.8, 16.3)"
COPD,Brazil,2.77695589346981,1.57625644540718,3.94790594083915,"2.8 (1.6, 3.9)"
COPD,Canada,6.03466554092321,2.43331193478934,9.47849660999791,"6.0 (2.4, 9.5)"
COPD,Chile,0.451269435569019,-1.05043598257493,1.84365011641692,"0.5 (-1.1, 1.8)"
COPD,New Zealand,1.47333099422888,-4.01862978846,6.53346313062907,"1.5 (-4.0, 6.5)"
COPD,Thailand,-9.15372736664919,-24.8789147320797,6.11530985231408,"-9.2 (-24.9, 6.1)"
Asthma,Australia,6.99146622179154,1.29866703233255,12.4637976612241,"7.0 (1.3, 12.5)"
Asthma,Brazil,2.59168863765,0.492441884545322,4.61046965087045,"2.6 (0.5, 4.6)"
Asthma,Canada,2.26585749184918,1.07258450427091,3.33790676105795,"2.3 (1.1, 3.3)"
Asthma,Chile,-0.662234837583625,-2.612520666539,1.23501405983732,"-0.7 (-2.6, 1.2)"
Asthma,New Zealand,8.2386747727924,-2.04392342195543,17.7179335549559,"8.2 (-2.0, 17.7)"
Asthma,Thailand,2.86793653966031,-7.37903272420799,12.5545584977411,"2.9 (-7.4, 12.6)"
